"","NZDT","Serial.Number","GPS.Heading","GPS.Speed","Heading","Latitude","Longitude","corrected_Heading","variation"
"118",2020-10-16 17:24:49,"002-0009-00281",359,0.578462112,341.3644689,-37.5549449,175.4591546,341.3644689,17.6355311
"119",2020-10-16 17:24:47,"002-0009-00281",355,1.887209744,340.7228791,-37.5549553,175.4591548,340.7228791,14.2771209
"120",2020-10-16 17:24:46,"002-0009-00281",358,1.280232979,338.5192513,-37.5549722,175.4591567,338.5192513,19.4807487
"121",2020-10-16 17:24:45,"002-0009-00281",359,1.192240743,344.0790802,-37.5549837,175.4591573,344.0790802,14.9209198
"122",2020-10-16 17:24:44,"002-0009-00281",359,1.87986662,341.1186287,-37.5549944,175.4591581,341.1186287,17.8813713
"123",2020-10-16 17:24:43,"002-0009-00281",0,0.661832143,339.8360782,-37.5550113,175.4591583,339.8360782,20.1639218
"124",2020-10-16 17:24:41,"002-0009-00281",0,1.212692743,343.0907776,-37.5550232,175.4591584,343.0907776,16.9092224
"125",2020-10-16 17:24:40,"002-0009-00281",3,1.194091542,338.4093552,-37.5550341,175.4591581,338.4093552,24.5906448
"126",2020-10-16 17:24:39,"002-0009-00281",0,0.978832427,346.4541204,-37.5550448,175.459157,346.4541204,13.5458796
"127",2020-10-16 17:24:37,"002-0009-00281",359,1.913234132,342.8772342,-37.5550624,175.4591569,342.8772342,16.1227658
"128",2020-10-16 17:24:36,"002-0009-00281",359,0.889882203,339.8818191,-37.5550796,175.4591571,339.8818191,19.1181809
"129",2020-10-16 17:24:34,"002-0009-00281",0,1.33522233,346.6793329,-37.5550956,175.4591573,346.6793329,13.3206671
"130",2020-10-16 17:24:33,"002-0009-00281",359,1.212532995,339.4179378,-37.5551076,175.4591569,339.4179378,19.5820622
"131",2020-10-16 17:24:32,"002-0009-00281",0,1.813131754,337.8793615,-37.5551185,175.4591571,337.8793615,22.1206385
"132",2020-10-16 17:24:31,"002-0009-00281",4,1.979150561,350.1906039,-37.5551348,175.4591569,350.1906039,13.8093961
"133",2020-10-16 17:24:30,"002-0009-00281",3,0.840718925,349.0889766,-37.5551525,175.4591546,349.0889766,13.9110234
"134",2020-10-16 17:24:28,"002-0009-00281",0,1.212405182,339.4457305,-37.5551676,175.4591537,339.4457305,20.5542695
"135",2020-10-16 17:24:27,"002-0009-00281",356,1.113168762,337.3769804,-37.5551785,175.4591537,337.3769804,18.6230196
"136",2020-10-16 17:24:26,"002-0009-00281",355,1.22735357,340.3358881,-37.5551885,175.4591542,340.3358881,14.6641119
"137",2020-10-16 17:24:25,"002-0009-00281",357,1.3246883,341.8499734,-37.5551995,175.4591553,341.8499734,15.1500266
"138",2020-10-16 17:24:24,"002-0009-00281",0,1.792184357,340.9054825,-37.5552114,175.4591559,340.9054825,19.0945175
"139",2020-10-16 17:24:23,"002-0009-00281",2,1.237785075,346.010205,-37.5552275,175.4591551,346.010205,15.989795
"140",2020-10-16 17:24:22,"002-0009-00281",2,0.987929586,350.93625,-37.5552386,175.4591541,350.93625,11.06375
"141",2020-10-16 17:24:20,"002-0009-00281",12,1.885295038,354.5411504,-37.5552563,175.4591522,354.5411504,17.4588496
"142",2020-10-16 17:24:19,"002-0009-00281",13,1.34427236,356.1520307,-37.5552728,175.4591473,356.1520307,16.8479693
"143",2020-10-16 17:24:18,"002-0009-00281",14,0.633067348,357.2490069,-37.5552846,175.459144,357.2490069,16.7509931
"144",2020-10-16 17:24:16,"002-0009-00281",14,1.174703758,368.1593811,-37.5552956,175.4591403,8.15938110000002,5.84061889999998
"145",2020-10-16 17:24:15,"002-0009-00281",8,1.255684181,360.7083959,-37.5553057,175.4591364,0.708395900000028,7.29160409999997
"146",2020-10-16 17:24:14,"002-0009-00281",3,1.348756477,355.0962969,-37.5553168,175.4591338,355.0962969,7.90370309999997
"147",2020-10-16 17:24:13,"002-0009-00281",356,1.813238588,338.8312208,-37.5553289,175.4591328,338.8312208,17.1687792
"148",2020-10-16 17:24:12,"002-0009-00281",359,1.190191767,345.3535704,-37.5553452,175.4591331,345.3535704,13.6464296
"149",2020-10-16 17:24:11,"002-0009-00281",358,1.346341473,343.7295146,-37.5553559,175.459133,343.7295146,14.2704854
"150",2020-10-16 17:24:10,"002-0009-00281",1,1.22381311,342.6906957,-37.555368,175.4591334,342.6906957,18.3093043
"151",2020-10-16 17:24:09,"002-0009-00281",3,1.202861438,340.4143584,-37.555379,175.4591331,340.4143584,22.5856416
"152",2020-10-16 17:24:08,"002-0009-00281",3,1.7929624,339.8242036,-37.5553898,175.4591324,339.8242036,23.1757964
"153",2020-10-16 17:24:07,"002-0009-00281",2,0.584105879,327.425379,-37.5554059,175.4591314,327.425379,34.574621
"154",2020-10-16 17:24:05,"002-0009-00281",359,1.847170439,331.9930399,-37.5554164,175.4591317,331.9930399,27.0069601
"155",2020-10-16 17:24:04,"002-0009-00281",359,0.840200337,340.2364425,-37.555433,175.4591323,340.2364425,18.7635575
"156",2020-10-16 17:24:02,"002-0009-00281",355,1.226090277,344.1276157,-37.5554481,175.4591329,344.1276157,10.8723843
"157",2020-10-16 17:24:01,"002-0009-00281",358,1.725163157,338.0004946,-37.5554591,175.4591338,338.0004946,19.9995054
"158",2020-10-16 17:24:00,"002-0009-00281",2,1.19175319,347.7298653,-37.5554746,175.4591345,347.7298653,14.2701347
"159",2020-10-16 17:23:59,"002-0009-00281",1,0.913368634,341.4468958,-37.5554853,175.4591338,341.4468958,19.5531042
"160",2020-10-16 17:23:57,"002-0009-00281",3,1.191753188,346.0380133,-37.5555017,175.4591327,346.0380133,16.9619867
"161",2020-10-16 17:23:56,"002-0009-00281",0,1.87996966,345.1861817,-37.5555124,175.459132,345.1861817,14.8138183
"162",2020-10-16 17:23:55,"002-0009-00281",3,1.749500105,342.5632658,-37.5555293,175.4591323,342.5632658,20.4367342
"163",2020-10-16 17:23:54,"002-0009-00281",3,0.918922353,344.1205821,-37.555545,175.4591311,344.1205821,18.8794179
"164",2020-10-16 17:23:52,"002-0009-00281",2,0.892620751,342.8165484,-37.5555615,175.45913,342.8165484,19.1834516
"165",2020-10-16 17:23:50,"002-0009-00281",3,1.151367991,348.3160056,-37.5555775,175.4591284,348.3160056,14.6839944
"166",2020-10-16 17:23:49,"002-0009-00281",359,0.851090324,338.516966,-37.5555991,175.4591276,338.516966,20.483034
"167",2020-10-16 17:23:47,"002-0009-00281",358,1.846939711,346.523781,-37.5556144,175.4591272,346.523781,11.476219
"168",2020-10-16 17:23:46,"002-0009-00281",357,0.818119574,342.3814636,-37.555631,175.4591277,342.3814636,14.6185364
"169",2020-10-16 17:23:44,"002-0009-00281",5,1.130160259,342.8935611,-37.5556457,175.4591284,342.8935611,22.1064389
"170",2020-10-16 17:23:43,"002-0009-00281",4,1.816653935,345.2531161,-37.5556558,175.459127,345.2531161,18.7468839
"171",2020-10-16 17:23:42,"002-0009-00281",359,1.123731642,341.1903316,-37.5556721,175.4591257,341.1903316,17.8096684
"172",2020-10-16 17:23:41,"002-0009-00281",359,0.906694071,334.8814609,-37.5556822,175.459126,334.8814609,24.1185391
"173",2020-10-16 17:23:39,"002-0009-00281",359,1.712962049,339.874274,-37.5556985,175.4591264,339.874274,19.125726
"174",2020-10-16 17:23:38,"002-0009-00281",358,1.312984222,344.8777241,-37.5557139,175.4591265,344.8777241,13.1222759
"175",2020-10-16 17:23:37,"002-0009-00281",358,0.906790205,342.9543095,-37.5557257,175.4591269,342.9543095,15.0456905
"176",2020-10-16 17:23:35,"002-0009-00281",358,1.201411194,342.669612,-37.555742,175.4591274,342.669612,15.330388
"177",2020-10-16 17:23:34,"002-0009-00281",359,0.906523141,346.2529979,-37.5557528,175.4591276,346.2529979,12.7470021
"178",2020-10-16 17:23:32,"002-0009-00281",6,1.150526446,345.8158498,-37.5557691,175.4591276,345.8158498,20.1841502
"179",2020-10-16 17:23:31,"002-0009-00281",359,1.234933524,344.80909,-37.5557794,175.4591264,344.80909,14.19091
"180",2020-10-16 17:23:30,"002-0009-00281",358,1.792551785,345.0241569,-37.5557905,175.4591261,345.0241569,12.9758431
"181",2020-10-16 17:23:29,"002-0009-00281",354,1.758004988,337.3370336,-37.5558066,175.459127,337.3370336,16.6629664
"182",2020-10-16 17:23:28,"002-0009-00281",359,1.179561854,343.5757764,-37.5558223,175.4591293,343.5757764,15.4242236
"183",2020-10-16 17:23:27,"002-0009-00281",0,1.16794642,345.7209254,-37.5558329,175.4591297,345.7209254,14.2790746
"184",2020-10-16 17:23:26,"002-0009-00281",1,1.202861418,348.2130911,-37.5558434,175.4591296,348.2130911,12.7869089
